date,scale,type,open,close,adds,drop,cin,cout,netchg
1989-01-01,upmus,rooms,641,0,0,0,865,386,1120
1989-01-01,upuus,props,6,1,0,0,2,5,2
1989-01-01,upuus,rooms,2410,121,0,0,769,1247,1811
1989-01-01,upsus,props,10,0,0,0,2,1,11
1989-01-01,upsus,rooms,1760,0,0,0,486,247,1999
1989-02-01,ecous,props,23,1,0,0,67,54,35
1989-02-01,ecous,rooms,2091,82,0,0,7615,6222,3402
1989-02-01,indus,props,8,1,0,0,18,22,3
1989-02-01,indus,rooms,529,96,0,0,1799,2401,-169
1989-02-01,luxus,props,1,0,0,0,0,0,1
1989-02-01,luxus,rooms,308,0,0,0,0,0,308
1989-02-01,midus,props,8,0,1,0,6,15,0
1989-02-01,midus,rooms,1096,0,148,0,587,1751,80
1989-02-01,upmus,props,15,1,0,0,7,7,14
1989-02-01,upmus,rooms,1527,216,0,0,975,953,1333
1989-02-01,upuus,props,5,0,0,0,2,3,4
1989-02-01,upuus,rooms,1224,0,0,0,425,357,1292
1989-02-01,upsus,props,3,0,0,0,1,0,4
1989-02-01,upsus,rooms,447,0,0,0,283,0,730
1989-03-01,ecous,props,41,0,0,0,14,11,44
1989-03-01,ecous,rooms,3454,0,0,0,1440,948,3946
1989-03-01,indus,props,6,2,1,0,14,16,3
1989-03-01,indus,rooms,644,196,1,0,1610,2307,-248
1989-03-01,luxus,props,0,0,0,0,0,0,0
1989-03-01,luxus,rooms,0,0,0,0,0,0,0
1989-03-01,midus,props,4,0,0,0,7,11,0
1989-03-01,midus,rooms,356,0,0,0,803,1284,-125
1989-03-01,upmus,props,20,1,0,1,4,2,20
1989-03-01,upmus,rooms,2305,200,0,22,726,328,2481
1989-03-01,upuus,props,4,1,0,0,1,1,3
1989-03-01,upuus,rooms,2263,418,0,0,383,277,1951
1989-03-01,upsus,props,8,0,0,0,1,0,9
1989-03-01,upsus,rooms,1233,0,0,0,182,0,1415
1989-04-01,ecous,props,20,0,0,0,26,15,31
1989-04-01,ecous,rooms,1569,0,0,0,2101,1189,2481
1989-04-01,indus,props,12,3,0,0,12,18,3
1989-04-01,indus,rooms,951,263,0,0,1309,1727,270
1989-04-01,luxus,props,1,0,0,0,0,2,-1
1989-04-01,luxus,rooms,342,0,0,0,0,411,-69
1989-04-01,midus,props,8,0,0,0,6,9,5
1989-04-01,midus,rooms,883,0,0,0,799,989,693
1989-04-01,upmus,props,10,0,0,0,5,3,12
1989-04-01,upmus,rooms,1035,0,0,0,818,352,1501
1989-04-01,upuus,props,5,0,0,0,2,3,4
1989-04-01,upuus,rooms,1142,0,0,0,413,677,878
1989-04-01,upsus,props,2,0,0,0,1,2,1
1989-04-01,upsus,rooms,639,0,0,0,384,479,544
1989-05-01,ecous,props,36,0,0,0,26,24,38
1989-05-01,ecous,rooms,3146,0,0,0,2003,2533,2616
1989-05-01,indus,props,18,4,0,0,19,24,9
1989-05-01,indus,rooms,1456,198,0,0,1955,2156,1057
1989-05-01,luxus,props,0,0,0,0,0,0,0
1989-05-01,luxus,rooms,0,0,0,0,0,0,0
1989-05-01,midus,props,5,0,0,0,13,11,7
1989-05-01,midus,rooms,451,0,0,0,1458,1214,695
1989-05-01,upmus,props,26,0,0,0,7,7,26
1989-05-01,upmus,rooms,2876,0,0,0,1182,1300,2758
